Column4,Column1,Column2,Column3
"THB20,734.88","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-256GB-SSD/273886629319?hash=item3fc4ea4dc7:g:YEMAAOSwolRcp~5x,Watch
"THB18,231.04","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-128GB-SSD-1TB-HDD/283514610444?hash=item4202c9a30c:g:YEMAAOSwolRcp~5x,Watch
"THB2,388.07 to THB7,165.01",,,
"THB38,623.20",,,
"THB20,108.92","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 24GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-24GB-RAM-128GB-SSD/283514610559?hash=item4202c9a37f:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 512GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-512GB-SSD/283514610447?hash=item4202c9a30f:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-128GB-SSD-2TB-HDD/283514610489?hash=item4202c9a339:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 128GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-128GB-SSD-1TB-HDD/283514610544?hash=item4202c9a370:g:YEMAAOSwolRcp~5x,Watch
"THB19,795.94","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 12GB RAM 256GB SSD 500GB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-12GB-RAM-256GB-SSD-500GB-HDD/283514610643?hash=item4202c9a3d3:g:YEMAAOSwolRcp~5x,Watch
"THB19,482.96","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 256GB SSD 1TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-256GB-SSD-1TB-HDD/273886629177?hash=item3fc4ea4d39:g:YEMAAOSwolRcp~5x,Watch
"THB19,482.96","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 256GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-256GB-SSD/283514610635?hash=item4202c9a3cb:g:YEMAAOSwolRcp~5x,Watch
